"Residue","MolWt","ResWt","pKa","pKb","pKx","pI"
"A",89.10,71.08,2.34,9.69,NA,6.00
"R",174.20,156.19,2.17,9.04,12.48,10.76
"N",132.12,114.11,2.02,8.80,NA,5.41
"D",133.11,115.09,1.88,9.60,3.65,2.77
"C",121.16,103.15,1.96,10.28,8.18,5.07
"E",147.13,129.12,2.19,9.67,4.25,3.22
"Q",146.15,128.13,2.17,9.13,NA,5.65
"G",75.07,57.05,2.34,9.60,NA,5.97
"H",155.16,137.14,1.82,9.17,6.00,7.59
"O",131.13,113.11,1.82,9.65,NA,NA
"I",131.18,113.16,2.36,9.60,NA,6.02
"L",131.18,113.16,2.36,9.60,NA,5.98
"K",146.19,128.18,2.18,8.95,10.53,9.74
"M",149.21,131.20,2.28,9.21,NA,5.74
"F",165.19,147.18,1.83,9.13,NA,5.48
"P",115.13,97.12,1.99,10.60,NA,6.30
"U",139.11,121.09,NA,NA,NA,5.68
"S",105.09,87.08,2.21,9.15,NA,5.68
"T",119.12,101.11,2.09,9.10,NA,5.60
"W",204.23,186.22,2.83,9.39,NA,5.89
"Y",181.19,163.18,2.20,9.11,10.07,5.66
"V",117.15,99.13,2.32,9.62,NA,5.96
